agg_code,instance,longitude,latitude,arrondissement,rue_1,rue_2,numeroVoie,direction,periode,volume,vitesseMoyenne
m,det-00268-03,-73.61126282,45.62989831,Rivière-des-Prairies–Pointe-aux-Trembles,Louis-Hippolyte-La-Fontaine,Perras Inter. Est,1,Ouest,2025-12-01 00:00:00-05:00,1165,3.735042735042735
m,det-00268-03,-73.61126282,45.62989831,Rivière-des-Prairies–Pointe-aux-Trembles,Louis-Hippolyte-La-Fontaine,Perras Inter. Est,1,Ouest,2026-01-01 00:00:00-05:00,1490,3.5187557182067706
m,det-00268-03,-73.61126282,45.62989831,Rivière-des-Prairies–Pointe-aux-Trembles,Louis-Hippolyte-La-Fontaine,Perras Inter. Est,1,Ouest,2026-02-01 00:00:00-05:00,556,3.9973753280839897
m,det-00268-03,-73.61126282,45.62989831,Rivière-des-Prairies–Pointe-aux-Trembles,Louis-Hippolyte-La-Fontaine,Perras Inter. Est,1,Ouest,2026-03-01 00:00:00-05:00,28,7.392857142857143
m,det-00268-03,-73.61126282,45.62989831,Rivière-des-Prairies–Pointe-aux-Trembles,Louis-Hippolyte-La-Fontaine,Perras Inter. Est,1,Ouest,2026-04-01 00:00:00-04:00,30,6.8
m,det-00268-03,-73.61126282,45.62989831,Rivière-des-Prairies–Pointe-aux-Trembles,Louis-Hippolyte-La-Fontaine,Perras Inter. Est,1,Ouest,2026-05-01 00:00:00-04:00,51,7.431372549019608
m,det-00335-01,-73.564849,45.510961,Ville-Marie,Maisonneuve,Saint-Laurent,1,Est,2026-05-01 00:00:00-04:00,9580,14.862511744440964
m,det-00335-01,-73.564849,45.510961,Ville-Marie,Maisonneuve,Saint-Laurent,2,Ouest,2026-05-01 00:00:00-04:00,5975,12.437154811715482
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2025-06-01 00:00:00-04:00,31892,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2025-07-01 00:00:00-04:00,36830,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2025-08-01 00:00:00-04:00,54678,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2025-09-01 00:00:00-04:00,56981,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2025-10-01 00:00:00-04:00,32826,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2025-11-01 00:00:00-04:00,5726,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2025-12-01 00:00:00-05:00,1734,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2026-01-01 00:00:00-05:00,1099,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2026-02-01 00:00:00-05:00,1505,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2026-03-01 00:00:00-05:00,3173,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2026-04-01 00:00:00-04:00,6181,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,4,Ouest,2026-05-01 00:00:00-04:00,26538,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2025-06-01 00:00:00-04:00,18967,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2025-07-01 00:00:00-04:00,20646,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2025-08-01 00:00:00-04:00,35541,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2025-09-01 00:00:00-04:00,33312,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2025-10-01 00:00:00-04:00,18571,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2025-11-01 00:00:00-04:00,2663,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2025-12-01 00:00:00-05:00,1329,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2026-01-01 00:00:00-05:00,931,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2026-02-01 00:00:00-05:00,1323,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2026-03-01 00:00:00-05:00,1924,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2026-04-01 00:00:00-04:00,3949,
m,det-00336-01,-73.581329,45.493845,Ville-Marie,Maisonneuve,Saint-Marc,5,Est,2026-05-01 00:00:00-04:00,15825,
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2025-06-01 00:00:00-04:00,28542,7.848468922990681
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2025-07-01 00:00:00-04:00,34594,7.519991904940877
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2025-08-01 00:00:00-04:00,42630,7.947071675241384
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2025-09-01 00:00:00-04:00,46706,8.837799414096157
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2025-10-01 00:00:00-04:00,25791,14.82148979273804
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2025-11-01 00:00:00-04:00,11812,18.312616584704088
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2025-12-01 00:00:00-05:00,3717,14.483966585825923
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2026-01-01 00:00:00-05:00,2459,13.593966571545048
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2026-02-01 00:00:00-05:00,3616,13.934903047091412
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2026-03-01 00:00:00-05:00,3367,14.607919023518903
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2026-04-01 00:00:00-04:00,5626,15.743859024563902
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,2,Nord,2026-05-01 00:00:00-04:00,20927,14.233571394334469
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2025-06-01 00:00:00-04:00,23302,4.622677138320244
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2025-07-01 00:00:00-04:00,15110,5.61521149136162
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2025-08-01 00:00:00-04:00,26829,5.848767737117251
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2025-09-01 00:00:00-04:00,29150,8.173169889502763
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2025-10-01 00:00:00-04:00,18448,17.99373979314099
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2025-11-01 00:00:00-04:00,7812,18.27144324601952
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2025-12-01 00:00:00-05:00,2438,12.628453608247424
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2026-01-01 00:00:00-05:00,1642,11.491120636864666
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2026-02-01 00:00:00-05:00,2327,12.18776916451335
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2026-03-01 00:00:00-05:00,2489,11.832793522267206
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2026-04-01 00:00:00-04:00,4253,14.304090801607945
m,det-00385-01,-73.56921,45.498135,Ville-Marie,Canadiens-de-Montréal,Peel,3,Sud,2026-05-01 00:00:00-04:00,16487,12.563042150274892
m,det-00399-01,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Sud,2025-10-01 00:00:00-04:00,833,19.07563025210084
m,det-00399-01,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Sud,2025-11-01 00:00:00-04:00,12059,20.822456256737706
m,det-00399-01,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Sud,2025-12-01 00:00:00-05:00,3042,19.31097961867193
m,det-00399-01,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Sud,2026-01-01 00:00:00-05:00,1787,18.040850587576944
m,det-00399-01,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Sud,2026-02-01 00:00:00-05:00,2614,18.970160673297627
m,det-00399-01,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Sud,2026-03-01 00:00:00-05:00,2581,20.194110809763657
m,det-00399-01,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Sud,2026-04-01 00:00:00-04:00,5401,19.986669135345306
m,det-00399-01,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Sud,2026-05-01 00:00:00-04:00,20527,20.467092122570275
m,det-00399-02,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Nord,2025-10-01 00:00:00-04:00,741,19.37972972972973
m,det-00399-02,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Nord,2025-11-01 00:00:00-04:00,10145,19.39054480852744
m,det-00399-02,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Nord,2025-12-01 00:00:00-05:00,2464,17.31814483319772
m,det-00399-02,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Nord,2026-01-01 00:00:00-05:00,1622,16.761875385564466
